DATA,,,,,,
key,data,,,,,
token_name,Bonfida,,,,,
token_symbol,FIDA,,,,,
start_date,31/12/2020,,,,,
start_tokens,1000000000,,,,,
emission_schedule,1D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,,,,,,
DISTRIBUTION,,,,,,
entity,Seed,Liquidity,IEO,Serum Ecosystem Incentives,Team,Bonfida Foundation
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,ecosystem,public,ecosystem,team_advisors,foundation
emission,unlock,unlock,unlock,unlock,unlock,unlock
t336,0,2,0.6,2,0,0
t337,0,2,0.6,2,0,0
t338,0,2,0.6,2,0,0
t339,0,2,0.6,2,0,0
t340,0,2,0.6,2,0,0
t341,0,2,0.6,2,0,0
t342,0,2,0.6,2,0,0
t343,0,2,0.6,2,0,0
t344,0,2,0.6,2,0,0
t345,0,2,0.6,2,0,0
t346,0,2,0.6,2,0,0
t347,0,2,0.6,2,0,0
t348,0,2,0.6,2,0,0
t349,0,2,0.6,2,0,0
t350,0,2,0.6,2,0,0
t351,0,2,0.6,2,0,0
t352,0,2,0.6,2,0,0
t353,0,2,0.6,2,0,0
t354,0,2,0.6,2,0,0
t355,0,2,0.6,2,0,0
t356,0,2,0.6,2,0,0
t357,0,2,0.6,2,0,0
t358,0,2,0.6,2,0,0
t359,0,2,0.6,2,0,0
t360,0,2,0.6,2,0,0
t361,0,2,0.6,2,0,0
t362,0,2,0.6,2,0,0
t363,0,2,0.6,2,0,0
t364,0,2,0.6,2,0,0
t365,0,2,0.6,2,0,0
t366,0.008211678832,2,0.6,2.00729927,0.009124087591,0.06240875912
t367,0.01642335766,2,0.6,2.01459854,0.01824817518,0.1248175182
t368,0.0246350365,2,0.6,2.02189781,0.02737226277,0.1872262774
t369,0.03284671533,2,0.6,2.02919708,0.03649635036,0.2496350365
t370,0.04105839416,2,0.6,2.03649635,0.04562043796,0.3120437956
t371,0.04927007299,2,0.6,2.04379562,0.05474452555,0.3744525547
t372,0.05748175182,2,0.6,2.051094891,0.06386861314,0.4368613139
t373,0.06569343066,2,0.6,2.058394161,0.07299270073,0.499270073
t374,0.07390510949,2,0.6,2.065693431,0.08211678832,0.5616788321
t375,0.08211678832,2,0.6,2.072992701,0.09124087591,0.6240875912
t376,0.09032846715,2,0.6,2.080291971,0.1003649635,0.6864963504
t377,0.09854014599,2,0.6,2.087591241,0.1094890511,0.7489051095
t378,0.1067518248,2,0.6,2.094890511,0.1186131387,0.8113138686
t379,0.1149635036,2,0.6,2.102189781,0.1277372263,0.8737226277
t380,0.1231751825,2,0.6,2.109489051,0.1368613139,0.9361313869
t381,0.1313868613,2,0.6,2.116788321,0.1459854015,0.998540146
t382,0.1395985401,2,0.6,2.124087591,0.1551094891,1.060948905
t383,0.147810219,2,0.6,2.131386861,0.1642335766,1.123357664
t384,0.1560218978,2,0.6,2.138686131,0.1733576642,1.185766423
t385,0.1642335766,2,0.6,2.145985401,0.1824817518,1.248175182
t386,0.1724452555,2,0.6,2.153284672,0.1916058394,1.310583942
t387,0.1806569343,2,0.6,2.160583942,0.200729927,1.372992701
