DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,ecosystem,team_advisors,ecosystem,ecosystem,team_advisors,investors,public,team_advisors
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
allocation,20,10,15,10,25,10,2,8.00
t216,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t217,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t218,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t219,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t220,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t221,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t222,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t223,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t224,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t225,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t226,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t227,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t228,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t229,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t230,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t231,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t232,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t233,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t234,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t235,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t236,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t237,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t238,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t239,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t240,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t241,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t242,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t243,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t244,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t245,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t246,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t247,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t248,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t249,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t250,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t251,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t252,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t253,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t254,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t255,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t256,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t257,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t258,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t259,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t260,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t261,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t262,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t263,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t264,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t265,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t266,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t267,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t268,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t269,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t270,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t271,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t272,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t273,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t274,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t275,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t276,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t277,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t278,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t279,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t280,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t281,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t282,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t283,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t284,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t285,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t286,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t287,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t288,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t289,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t290,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
t291,0.000000,0.000000,1.500000,0.000000,8.500000,0.000000,2.000000,0.000000
